kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",1.629,2026-09-12T03:10:46.857470,"1,12,1","32,16,1",44,0,0,0,,,,,,,,,,,,,,,,,,,
ucopy_f32,2.14,2026-09-12T03:10:46.857497,"3,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
badd_f32,2.459,2026-09-12T03:10:46.857523,"3,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
urelu_f32,1.15,2026-09-12T03:10:46.857550,"3,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
im2col1d_f32,2.3,2026-09-12T03:10:46.857591,"2,1,1","1024,1,1",40,0,0,0,,,,,,,,,,,,,,,,,,,
ampere_sgemm_32x32_sliced1x4_tn,3.481,2026-09-12T03:10:46.857619,"1,3,48","128,1,1",86,32768,32768,0,,,,,,,,,,,,,,,,,,,
"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",2.491,2026-09-12T03:10:46.857646,"1,6,1","32,16,1",44,0,0,0,,,,,,,,,,,,,,,,,,,
ucopy_f32,2.299,2026-09-12T03:10:46.857673,"3,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
badd_f32,2.522,2026-09-12T03:10:46.857699,"3,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
urelu_f32,1.15,2026-09-12T03:10:46.857725,"3,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>>(T4)",3.641,2026-09-12T03:10:46.857751,"18,1,96","128,1,1",28,512,512,0,,,,,,,,,,,,,,,,,,,
"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)",1.309,2026-09-12T03:10:46.857778,"1,1,96","128,1,1",28,768,768,0,,,,,,,,,,,,,,,,,,,
badd_f32,1.31,2026-09-12T03:10:46.857805,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
urelu_f32,1.086,2026-09-12T03:10:46.857831,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",1.661,2026-09-12T03:10:46.857858,"2,1,1","4,16,1",166,320,0,320,,,,,,,,,,,,,,,,,,,
badd_f32,1.277,2026-09-12T03:10:46.857885,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
urelu_f32,1.15,2026-09-12T03:10:46.857911,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
copy2d_f32,1.086,2026-09-12T03:10:46.857944,"1,1,1","1024,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
copy2d_f32,1.054,2026-09-12T03:10:46.857976,"1,1,1","1024,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
copy2d_f32,1.054,2026-09-12T03:10:46.858003,"1,1,1","1024,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
fast_sum_f32,1.82,2026-09-12T03:10:46.858030,"1,1,1","256,1,1",30,4096,4096,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.15,2026-09-12T03:10:46.858057,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
bsub_f32,1.98,2026-09-12T03:10:46.858083,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
usqr_f32,1.118,2026-09-12T03:10:46.858110,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
fast_sum_f32,1.789,2026-09-12T03:10:46.858221,"1,1,1","256,1,1",30,4096,4096,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.118,2026-09-12T03:10:46.858243,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.085,2026-09-12T03:10:46.858258,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
usqrt_f32,1.149,2026-09-12T03:10:46.858280,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
bdiv_f32,2.043,2026-09-12T03:10:46.858294,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
bmul_f32,1.309,2026-09-12T03:10:46.858308,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
badd_f32,1.342,2026-09-12T03:10:46.858324,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
copy2d_f32,1.118,2026-09-12T03:10:46.858337,"1,1,1","1024,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
copy2d_f32,1.182,2026-09-12T03:10:46.858350,"1,1,1","1024,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
copy2d_f32,1.182,2026-09-12T03:10:46.858364,"1,1,1","1024,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)8, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",2.587,2026-09-12T03:10:46.858377,"32,1,1","16,16,1",159,1088,0,1088,,,,,,,,,,,,,,,,,,,
badd_f32,1.405,2026-09-12T03:10:46.858391,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
urelu_f32,1.15,2026-09-12T03:10:46.858405,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)",3.321,2026-09-12T03:10:46.858418,"64,1,1","128,1,1",47,1536,1536,0,,,,,,,,,,,,,,,,,,,
badd_f32,1.374,2026-09-12T03:10:46.858432,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
bmaximum_f32,1.981,2026-09-12T03:10:46.858445,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
bminimum_f32,2.012,2026-09-12T03:10:46.858458,"1,1,1","1024,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
