run,id,kernel,context,stream,block_size,grid_size,device,cc,sm_frequency_mhz,elapsed_cycles,memory_throughput_pct,duration,duration_unit,l1tex_throughput_pct,l2_throughput_pct,sm_active_cycles,compute_sm_throughput_pct,registers_per_thread,shared_memory_config_kbyte,driver_shared_mem_per_block_kbyte,dynamic_shared_mem_per_block_byte,static_shared_mem_per_block_byte,sms,threads,tpcs,waves_per_sm,block_limit_sm,block_limit_registers,block_limit_shared_mem,block_limit_warps,theoretical_active_warps_per_sm,theoretical_occupancy_pct,achieved_occupancy_pct,achieved_active_warps_per_sm,avg_l1_active_cycles,total_l1_elapsed_cycles,avg_l2_active_cycles,total_l2_elapsed_cycles,avg_mc_channel_active_cycles,total_mc_channel_elapsed_cycles,avg_sm_active_cycles,total_sm_elapsed_cycles,avg_smsp_active_cycles,total_smsp_elapsed_cycles
base,0,action_score,1,7,"(256, 1, 1)","(2, 1, 1)",0,8.7,305.35,29656,nan,97.12,us,nan,nan,nan,nan,30,16.38,1.02,0,1.02,4,512,2,0.08,16,8,8,6,48,100,nan,nan,nan,nan,nan,237240,nan,nan,nan,nan,nan,nan
base,1,belief_couple,2,14,"(4, 1, 1)","(1, 1, 1)",0,8.7,303.71,7085,nan,23.33,us,nan,nan,nan,nan,23,32.77,1.02,12,0,4,4,2,0.02,16,84,28,48,16,33.33,nan,nan,nan,nan,nan,56600,nan,nan,nan,nan,nan,nan
base,2,belief_update,3,21,"(1024, 1, 1)","(1, 1, 1)",0,8.7,306.00,3976629,nan,13.00,ms,nan,nan,nan,nan,44,16.38,1.02,0,8.19,4,1024,2,0.25,16,1,1,1,32,66.67,nan,nan,nan,nan,nan,31813032,nan,nan,nan,nan,nan,nan
base,3,cognition_update,4,28,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.99,3966724,nan,12.96,ms,nan,nan,nan,nan,47,16.38,1.02,0,8.19,4,1024,2,0.25,16,1,1,1,32,66.67,nan,nan,nan,nan,nan,31716832,nan,nan,nan,nan,nan,nan
base,4,cognition_update,4,28,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.99,3960561,nan,12.94,ms,nan,nan,nan,nan,47,16.38,1.02,0,8.19,4,1024,2,0.25,16,1,1,1,32,66.67,nan,nan,nan,nan,nan,31669248,nan,nan,nan,nan,nan,nan
base,5,cognition_patch,5,35,"(1, 1, 1)","(1, 1, 1)",0,8.7,302.97,4925,nan,16.26,us,nan,nan,nan,nan,16,16.38,1.02,0,0,4,1,2,0.02,16,128,16,48,16,33.33,nan,nan,nan,nan,nan,39400,nan,nan,nan,nan,nan,nan
base,6,costmap_stats,6,42,"(256, 1, 1)","(16, 1, 1)",0,8.7,303.24,6317,nan,20.83,us,nan,nan,nan,nan,16,8.19,1.02,0,0,4,4096,2,0.67,16,16,8,6,48,100,nan,nan,nan,nan,nan,50544,nan,nan,nan,nan,nan,nan
base,7,perception_voxel,7,49,"(256, 1, 1)","(48, 1, 1)",0,8.7,305.73,79990,nan,261.63,us,nan,nan,nan,nan,21,8.19,1.02,0,0,4,12288,2,2,16,10,8,6,48,100,nan,nan,nan,nan,nan,639920,nan,nan,nan,nan,nan,nan
