kernel,launches,total_us,mean_us,max_us,grid_x,block_x
copy2d_f32,6192,6698.9,1.08,1.94,1,1024
badd_f32,4096,4784.8,1.17,1.47,1,1024
"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)",1024,3963.9,3.87,11.2,512,128
"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)8, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",2048,3874.6,1.89,3.12,32,16
"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)",1024,2554.0,2.49,3.76,64,128
urelu_f32,2048,2255.0,1.1,1.18,1,1024
bmaximum_f32,1024,1981.3,1.93,2.04,1,1024
bminimum_f32,1024,1958.6,1.91,2.1,1,1024
