kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",4.336,2026-09-11T18:05:41.237561,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.084,2026-09-11T18:05:41.237588,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.084,2026-09-11T18:05:41.237615,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.148,2026-09-11T18:05:41.237642,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",0.957,2026-09-11T18:05:41.237668,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.052,2026-09-11T18:05:41.237695,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
const_set_f32,1.053,2026-09-11T18:05:41.237722,"1,1,1","1024,1,1",22,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",2.902,2026-09-11T18:05:41.237749,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.084,2026-09-11T18:05:41.237776,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.18,2026-09-11T18:05:41.237803,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",4.145,2026-09-11T18:05:41.237830,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.052,2026-09-11T18:05:41.237868,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.083,2026-09-11T18:05:41.237896,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",4.144,2026-09-11T18:05:41.237922,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.084,2026-09-11T18:05:41.237949,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.115,2026-09-11T18:05:41.237975,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",2.615,2026-09-11T18:05:41.238002,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.053,2026-09-11T18:05:41.238029,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.084,2026-09-11T18:05:41.238056,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",25.379,2026-09-11T18:05:41.238083,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
