kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",97.376,2026-09-02T10:38:03.616838,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",9.792,2026-09-02T10:38:03.616869,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,8.0,2026-09-02T10:38:03.616900,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",10.912,2026-09-02T10:38:03.616931,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",9.6,2026-09-02T10:38:03.616962,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,7.36,2026-09-02T10:38:03.616993,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
const_set_f32,10.752,2026-09-02T10:38:03.617027,"1,1,1","1024,1,1",22,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",60.832,2026-09-02T10:38:03.617061,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",11.04,2026-09-02T10:38:03.617092,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,7.808,2026-09-02T10:38:03.617122,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",95.104,2026-09-02T10:38:03.617153,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",10.912,2026-09-02T10:38:03.617185,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,7.616,2026-09-02T10:38:03.617215,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",92.832,2026-09-02T10:38:03.617246,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",14.176,2026-09-02T10:38:03.617287,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,7.808,2026-09-02T10:38:03.617322,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
